Modelo,MSE,MAE,RMSE,MAPE
LSTM,2747117537.303076,24015.548171,29175.652601,0.103065
Prophet,149324931624.87875,182442.559239,203692.937624,0.793453
SARIMAX,85057699212.59328,128551.450817,128551.450817,0.492514
XGBoost,1402452461.90939,18724.709677,24192.094934,0.081592
