artist_id,fecha_prediccion,royalties_forecast,lower_ci,upper_ci,modelo
A01,2025-04-01,3260.963028909849,-3184.265701786616,9706.191759606314,SARIMAX
A01,2025-05-01,2817.7602664076694,-6297.16961714,11932.69014995534,SARIMAX
A01,2025-06-01,2367.2588720990534,-8796.20475586989,13530.722500067995,SARIMAX
A01,2025-07-01,1909.3858596659773,-10981.071601726951,14799.843321058908,SARIMAX
A01,2025-08-01,1444.0675129271258,-12967.902059444856,15856.037085299107,SARIMAX
A01,2025-09-01,971.2293785394868,-14816.292287192948,16758.75104427192,SARIMAX
A02,2025-04-01,6865.909539588261,6013.3564790759565,7718.462600100566,SARIMAX
A02,2025-05-01,6981.81962628978,6009.893146626231,7953.746105953329,SARIMAX
A02,2025-06-01,7098.426035555096,6020.263041034573,8176.589030075619,SARIMAX
A02,2025-07-01,7215.735730609855,6040.90391131156,8390.56754990815,SARIMAX
A02,2025-08-01,7333.755744311946,6069.625939063282,8597.88554956061,SARIMAX
A02,2025-09-01,7452.493179847845,6104.970072290758,8800.016287404931,SARIMAX
A03,2025-04-01,775295.2096027266,728627.8775604456,821962.5416450077,SARIMAX
A03,2025-05-01,776573.9754816265,728805.1006961317,824342.8502671212,SARIMAX
A03,2025-06-01,778326.0743938928,730505.2188520721,826146.9299357134,SARIMAX
A03,2025-07-01,780238.1747117197,732414.837699107,828061.5117243325,SARIMAX
A03,2025-08-01,782242.3623665412,734418.9068285626,830065.8179045197,SARIMAX
A03,2025-09-01,784324.3657134721,736500.9045140826,832147.8269128617,SARIMAX
A04,2025-04-01,2094.5423225315026,1787.966557175144,2401.1180878878613,SARIMAX
A04,2025-05-01,2150.7530475698827,1843.4482945678049,2458.057800571961,SARIMAX
A04,2025-06-01,2205.446852039792,1898.138632222658,2512.7550718569246,SARIMAX
A04,2025-07-01,2260.063026407741,1952.7547900840475,2567.3712627314344,SARIMAX
A04,2025-08-01,2314.7011555790014,2007.3929191767145,2622.009391981288,SARIMAX
A04,2025-09-01,2369.368384265584,2062.060147862923,2676.6766206682446,SARIMAX
A05,2025-04-01,354894.482418953,158775.39016728467,551013.5746706213,SARIMAX
A05,2025-05-01,356944.54884769616,160825.45659602786,553063.6410993645,SARIMAX
A05,2025-06-01,359017.1061204723,162898.013868804,555136.1983721406,SARIMAX
A05,2025-07-01,361112.379145722,164993.28689405366,557231.4713973902,SARIMAX
A05,2025-08-01,363230.5950809698,167111.5028293015,559349.6873326381,SARIMAX
A05,2025-09-01,365371.98335531575,169252.89110364745,561491.0756069841,SARIMAX
A06,2025-04-01,161917.35116263828,144471.7500716438,179362.95225363277,SARIMAX
A06,2025-05-01,168102.94572270013,149605.05495246002,186600.83649294023,SARIMAX
A06,2025-06-01,171295.1673871264,152670.65635392896,189919.67842032385,SARIMAX
A06,2025-07-01,173443.41126619425,154803.2245895349,192083.5979428536,SARIMAX
A06,2025-08-01,175235.00358104258,156592.86973494198,193877.1374271432,SARIMAX
A06,2025-09-01,176912.35886763586,158269.98305130017,195554.7346839716,SARIMAX
A07,2025-04-01,863755.7294427715,554710.1100068328,1172801.3488787103,SARIMAX
