Artist_ID,Modelo,MSE,MAE,RMSE,MAPE
A01,SARIMAX,25701755.955624446,5069.689926970332,5069.689926970332,0.8798584161324885
A02,SARIMAX,38558355.23271544,6209.537441123569,6209.537441123569,0.8098450469270977
A03,SARIMAX,98024542974.46768,313088.71422404813,313088.71422404813,0.3404177806865305
A04,SARIMAX,5848842.572470119,2418.4380439593897,2418.4380439593897,0.637687449839744
A05,SARIMAX,19375246480.74148,139194.99445289504,139194.99445289504,0.35015245288299407
A06,SARIMAX,3894806487.3196535,62408.3847517275,62408.3847517275,0.4077298446093676
A07,SARIMAX,16669156096.334267,129109.08603322334,129109.08603322334,0.16982650653062922
A08,SARIMAX,92773615.09465532,9631.906098724972,9631.906098724972,0.2793120490113066
A09,SARIMAX,6784487.286340395,2604.7048367023076,2604.7048367023076,0.15552461378138344
A10,SARIMAX,52249452.67940028,7228.378288343816,7228.378288343816,0.4805019924132966
A11,SARIMAX,135141929.30906904,11625.056099179437,11625.056099179437,1.2841234773636285
A12,SARIMAX,2814721.6869613677,1677.7132314437315,1677.7132314437315,0.6415562846143986
A13,SARIMAX,1116690724242.3508,1056735.8819697336,1056735.8819697336,1.5347808953156714
A14,SARIMAX,18948949637.936718,137655.18383968226,137655.18383968226,0.34620416976640966
A15,SARIMAX,1902189109.9311736,43614.09301970148,43614.09301970148,0.08665536278849487
