Artist_ID,Modelo,MSE,MAE,RMSE,MAPE
A01,XGBoost,724101.0099567557,634.1017333984374,850.9412494154668,0.1377209698678758
A02,XGBoost,511889.8794458729,546.2366196986609,715.4647995854673,0.07472929475773006
A03,XGBoost,5764911651.04184,58446.40692307692,75927.01529127719,0.08098239981874424
A04,XGBoost,175894.70762318422,334.76552280970975,419.3980300659318,0.11915398266555732
A05,XGBoost,1773830191.4887168,32829.64369791667,42116.86350488028,0.08354015916264808
A06,XGBoost,321179095.9540798,13846.055041666668,17921.470250905193,0.09268058985354419
A07,XGBoost,6004371252.555394,63038.704218750005,77487.87810074163,0.09776922792574601
A08,XGBoost,9028126.449139258,2492.9169170673076,3004.6840847482217,0.09614898904425416
A09,XGBoost,2445038.831457057,1363.1887770432693,1563.6619939926459,0.10167273569668002
A10,XGBoost,4351444.814468578,1331.411006610577,2086.01170046301,0.0891334359862911
A11,XGBoost,18344649.38785013,2007.684979654948,4283.065419515576,0.18391259946328345
A12,XGBoost,86234.28464215739,251.38999383223677,293.6567462908989,0.11903510812917566
A13,XGBoost,4054498692.377173,51263.04958333333,63674.94556242018,0.07936153190521526
A14,XGBoost,2631101851.5822144,36414.1564423077,51294.2672389636,0.10165444449276761
A15,XGBoost,451226814.2768561,16070.933697916671,21242.100043942362,0.03592612484453341
