Artista_ID,Mejor_Modelo,MAPE_Minimo,RMSE,MAE,MSE
A01,XGBoost,0.1377209698678758,850.9412494154668,634.1017333984374,724101.0099567557
A02,LSTM,0.0541171544906794,575.9005953239304,397.057254231771,350882.455942899
A03,LSTM,0.0757432512387963,60971.30204479201,52305.15833333334,3822100016.820558
A04,XGBoost,0.1191539826655573,419.3980300659318,334.7655228097097,175894.70762318422
A05,XGBoost,0.083540159162648,42116.86350488028,32829.64369791667,1773830191.4887168
A06,XGBoost,0.0926805898535441,17921.470250905193,13846.055041666668,321179095.9540798
A07,LSTM,0.0722792797943762,67185.83812945131,50403.93145833333,6334159466.889275
A08,XGBoost,0.0961489890442541,3004.6840847482217,2492.916917067308,9028126.449139258
A09,XGBoost,0.10167273569668,1563.661993992646,1363.1887770432693,2445038.831457057
A10,LSTM,0.0714081105714144,921.0418009055272,835.7473697916671,919483.85892092
A11,LSTM,0.1386655241477912,1144.5841036753832,990.1455354817708,1356331.4621004318
A12,XGBoost,0.1190351081291756,293.6567462908989,251.3899938322368,86234.28464215739
A13,XGBoost,0.0793615319052152,63674.94556242018,51263.04958333333,4054498692.377173
A14,XGBoost,0.1016544444927676,51294.2672389636,36414.1564423077,2631101851.5822144
A15,XGBoost,0.0359261248445334,21242.10004394236,16070.933697916673,451226814.2768561
